PowerRank,Rank,Team,GP,Wins,GF,GA,GD,Points,Points%,ELO,GD_per_game,z_pts,z_gd,z_elo,PowerScore
16,14,india,1613,169,221,193,28,338,0.10477371357718537,1279.453905649738,0.0173053152039555,0.20038244467029176,0.6716956328778723,-0.9730562016902863,-0.02179580627287836
17,29,uae,1620,140,202,250,-48,280,0.08641975308641975,1921.2042881026543,-0.029538461538461538,-1.343580016497737,-1.1443677890422397,1.8583663697345505,-0.14321389033423748
18,22,guatemala,1609,157,231,236,-5,314,0.09757613424487259,1456.0871513306608,-0.0030978934324659233,-0.40508863640569337,-0.11930636292955604,-0.1937448489281613,-0.21680540139810223
19,17,germany,1615,167,253,274,-21,334,0.10340557275541795,1399.4535774926337,-0.012962962962962963,0.08529240339755052,-0.5017604085874869,-0.44361393144048833,-0.33464593858977804
20,24,morocco,1596,155,249,269,-20,310,0.09711779448621553,1431.920163865424,-0.012492192379762648,-0.4436448587634429,-0.48350933457679696,-0.3003703464165606,-0.40944456976737575
21,28,switzerland,1585,140,201,229,-28,280,0.08832807570977919,1597.4158045594252,-0.01761006289308176,-1.1830490784613894,-0.6819215481877949,0.4298015480548679,-0.41810034707126154
22,12,oman,1616,172,241,283,-42,344,0.10643564356435643,1386.9776450166805,-0.025909932140653916,0.34018646759888976,-1.0036951111974297,-0.4986581320796328,-0.49096177380712097
23,30,saudi_arabia,1638,138,195,205,-10,276,0.08424908424908426,1482.9648244973823,-0.006086427267194158,-1.5261799083390344,-0.23516736645761085,-0.07515972213672023,-0.501917826415655
24,26,rwanda,1622,148,202,265,-63,296,0.09124537607891492,1660.6298038048378,-0.03872157344806392,-0.9376414314217549,-1.5003833539300024,0.7087036713529803,-0.5865174144538967
25,20,new_zealand,1641,158,219,226,-7,316,0.09628275441803778,1200.224760658559,-0.00425273390036452,-0.5138896715648165,-0.16407780703057523,-1.3226176442332116,-0.6570197161850582
26,25,canada,1574,152,222,265,-43,304,0.096569250317662,1411.288612601683,-0.027232425585813805,-0.4897892102763162,-1.0549662114054796,-0.3913973898417361,-0.6814228735758786
27,23,vietnam,1625,156,223,257,-34,312,0.096,1347.6360850414405,-0.020858895705521473,-0.5376753938561656,-0.8078739552075961,-0.6722343136522726,-0.6928504403253752
28,27,philippines,1595,143,198,186,12,286,0.0896551724137931,1108.8897332334614,0.0075,-1.071411729434284,0.29155817341943324,-1.7255906151641662,-0.7551863782982557
29,19,france,1660,159,241,265,-24,318,0.09578313253012048,1188.7865753748908,-0.014414414414414415,-0.5559186080502319,-0.5580310185378372,-1.3730832721063568,-0.8427712046649176
30,13,usa,1608,171,240,287,-47,342,0.10634328358208955,1173.2313877417043,-0.029138251704897707,0.33241700848918143,-1.1288522501516727,-1.4417132419070904,-0.8730362826058553
31,31,kazakhstan,1612,138,193,248,-55,276,0.08560794044665013,1375.3141192305584,-0.034013605442176874,-1.4118709034666088,-1.317862449732292,-0.5501179692315721,-1.072653994990619
32,32,mongolia,1612,127,179,244,-65,254,0.07878411910669975,1494.0254280981374,-0.04019789734075448,-1.9859009061955302,-1.5576182313645177,-0.02635999634760738,-1.1287485178163523
